cluster_id,bucket,dedup_role,canonical_cluster_id,kinds,total_chars
84876,KEEP,canonical,84876,headnotes;summary;headmatter;arguments,8661
84877,KEEP,canonical,84877,headnotes;summary;headmatter;arguments,8815
84879,KEEP,canonical,84879,headnotes;summary;headmatter;arguments,14603
84880,KEEP,canonical,84880,headnotes;summary;headmatter;arguments,39050
84882,KEEP,canonical,84882,headnotes;summary;headmatter,3246
84884,KEEP,canonical,84884,headnotes;summary;headmatter,21507
84885,KEEP,canonical,84885,headnotes;summary;headmatter,6170
84886,KEEP,canonical,84886,headnotes;summary;headmatter,6110
84888,KEEP,canonical,84888,headnotes;summary;headmatter,8220
84889,KEEP,canonical,84889,headnotes;summary;headmatter,40079
84890,KEEP,canonical,84890,headnotes;summary;headmatter,20563
84892,KEEP,canonical,84892,headnotes;summary;headmatter,9661
84894,KEEP,canonical,84894,headnotes;summary;headmatter,94538
84896,KEEP,canonical,84896,headnotes;summary;headmatter,39888
84897,KEEP,canonical,84897,headnotes;summary;headmatter,86936
84898,KEEP,canonical,84898,headnotes;summary;headmatter,29668
84899,KEEP,canonical,84899,headnotes;summary;headmatter,43383
84902,KEEP,canonical,84902,headnotes;summary;headmatter,122592
84903,KEEP,canonical,84903,headnotes;summary;headmatter,30450
84905,KEEP,canonical,84905,headnotes;summary;headmatter,36190
84907,KEEP,canonical,84907,headnotes;summary;headmatter,8947
84908,KEEP,canonical,84908,headnotes;summary;headmatter,9033
84911,KEEP,canonical,84911,headnotes;summary;headmatter,37466
84912,KEEP,canonical,84912,headnotes;summary;headmatter,20575
84913,KEEP,canonical,84913,headnotes;summary;headmatter,7116
84914,KEEP,canonical,84914,headnotes;summary;headmatter,11712
84915,KEEP,canonical,84915,headnotes;summary;headmatter,2521
84916,KEEP,canonical,84916,headnotes;summary;headmatter,27472
84919,KEEP,canonical,84919,headnotes;summary;headmatter,25785
84921,KEEP,canonical,84921,headnotes;summary;headmatter,11645
84926,KEEP,canonical,84926,headnotes;summary;headmatter,9339
84927,KEEP,canonical,84927,headnotes;summary;headmatter;arguments,55676
84928,KEEP,canonical,84928,headnotes;summary;headmatter;arguments,61233
84929,KEEP,canonical,84929,headnotes;summary;headmatter;arguments,2429
84931,KEEP,canonical,84931,headnotes;summary;headmatter;arguments,60753
84932,KEEP,canonical,84932,headnotes;summary;headmatter;arguments,37986
84933,KEEP,canonical,84933,headnotes;summary;headmatter;arguments,6450
84935,KEEP,canonical,84935,headnotes;summary;headmatter;arguments,183080
84936,KEEP,canonical,84936,headnotes;summary;headmatter;arguments,47277
84938,KEEP,canonical,84938,headnotes;summary;headmatter;arguments,25233
84941,KEEP,canonical,84941,headnotes;summary;headmatter;arguments,32560
84944,KEEP,canonical,84944,headnotes;summary;headmatter;arguments,56488
84946,KEEP,canonical,84946,headnotes;summary;headmatter;arguments,21506
84947,KEEP,canonical,84947,headnotes;summary;headmatter;arguments,11280
84949,KEEP,canonical,84949,headnotes;summary;headmatter;arguments,42816
84951,KEEP,canonical,84951,headnotes;summary;headmatter;arguments,41512
84952,KEEP,canonical,84952,headnotes;summary;headmatter,2978
84953,KEEP,canonical,84953,headnotes;summary;headmatter;arguments,18910
84954,KEEP,canonical,84954,headnotes;summary;headmatter,17354
84955,KEEP,canonical,84955,headnotes;summary;headmatter;arguments,13624
84956,KEEP,canonical,84956,headnotes;summary;headmatter;arguments,87738
84957,KEEP,canonical,84957,headnotes;summary;headmatter;arguments,24177
84962,KEEP,canonical,84962,headnotes;summary;headmatter;arguments,8863
84963,KEEP,canonical,84963,headnotes;summary;headmatter,2886
84965,KEEP,canonical,84965,headnotes;summary;headmatter,77465
84967,KEEP,canonical,84967,headnotes;summary;headmatter,17877
84968,KEEP,canonical,84968,headnotes;summary;headmatter,2284
84969,KEEP,canonical,84969,headnotes;summary;headmatter,55139
84970,KEEP,canonical,84970,headnotes;summary;headmatter,37659
84971,KEEP,canonical,84971,headnotes;summary;headmatter,98152
84972,KEEP,canonical,84972,headnotes;summary;headmatter;arguments,29589
84973,KEEP,canonical,84973,headnotes;summary;headmatter,1352
84974,KEEP,canonical,84974,headnotes;summary;headmatter,2423
84977,KEEP,canonical,84977,headnotes;headmatter,434
84978,KEEP,canonical,84978,headnotes;summary;headmatter,87970
84979,KEEP,canonical,84979,headnotes;summary;headmatter,1116
84981,KEEP,canonical,84981,headnotes;summary;headmatter,9067
84982,KEEP,canonical,84982,headnotes;summary;headmatter,13984
84983,KEEP,canonical,84983,headnotes;summary;headmatter,1463
84986,KEEP,canonical,84986,headnotes;summary;headmatter,63109
84989,KEEP,canonical,84989,headnotes;summary;headmatter,7738
84991,KEEP,canonical,84991,headnotes;summary;headmatter,80390
84993,KEEP,canonical,84993,headnotes;summary;headmatter,9591
84994,KEEP,canonical,84994,headnotes;summary;headmatter,12027
84999,KEEP,canonical,84999,headnotes;summary;headmatter,893
85001,KEEP,canonical,85001,headnotes;summary;headmatter,3622
85002,KEEP,canonical,85002,headnotes;summary;headmatter,14140
85003,KEEP,canonical,85003,headnotes;summary;headmatter,17479
85004,KEEP,canonical,85004,headnotes;summary;headmatter,58641
85005,KEEP,canonical,85005,headnotes;summary;headmatter,5932
85006,KEEP,canonical,85006,headnotes;summary;headmatter,16143
85007,KEEP,canonical,85007,headnotes;summary;headmatter,25057
85009,KEEP,canonical,85009,headnotes;summary;headmatter,11793
85012,KEEP,canonical,85012,headnotes;summary;headmatter,15269
85013,KEEP,canonical,85013,headnotes;summary;headmatter,3134
85014,KEEP,canonical,85014,headnotes;summary;headmatter,7475
85015,KEEP,canonical,85015,headnotes;summary;headmatter,28062
85017,KEEP,canonical,85017,headnotes;summary;headmatter,10061
85019,KEEP,canonical,85019,headnotes;summary;headmatter,8945
85021,KEEP,canonical,85021,headnotes;summary;headmatter,20754
85022,KEEP,canonical,85022,headnotes;summary;headmatter,8532
85026,KEEP,canonical,85026,headnotes;summary;headmatter,62546
85027,KEEP,canonical,85027,headnotes;summary;headmatter,41304
85028,KEEP,canonical,85028,headnotes;summary;headmatter,17455
85029,KEEP,canonical,85029,headnotes;summary;headmatter,11416
85030,KEEP,canonical,85030,headnotes;summary;headmatter,8657
85032,KEEP,canonical,85032,headnotes;summary;headmatter,3388
85033,KEEP,canonical,85033,headnotes;summary;headmatter,4393
85034,KEEP,canonical,85034,headnotes;summary;headmatter,130332
85035,KEEP,canonical,85035,headnotes;summary;headmatter,6750
85037,KEEP,canonical,85037,headnotes;summary;headmatter,7768
85038,KEEP,canonical,85038,headnotes;summary;headmatter,9045
85039,KEEP,canonical,85039,headnotes;summary;headmatter,1333
85040,KEEP,canonical,85040,headnotes;summary;headmatter,1688
85042,KEEP,canonical,85042,headnotes;summary;headmatter,16325
85043,KEEP,canonical,85043,headnotes;summary;headmatter,10081
85045,KEEP,canonical,85045,headnotes;summary;headmatter,68767
85048,KEEP,canonical,85048,headnotes;summary;headmatter;arguments,10979
85049,KEEP,canonical,85049,headnotes;summary;headmatter;arguments,36344
85050,KEEP,canonical,85050,headnotes;summary;headmatter,2200
85052,KEEP,canonical,85052,headnotes;summary;headmatter,8138
85054,KEEP,canonical,85054,headnotes;summary;headmatter;arguments,10367
85055,KEEP,canonical,85055,headnotes;summary;headmatter,4552
85056,KEEP,canonical,85056,headnotes;summary;headmatter;arguments,12591
